Rank,Image,Product name,Category,Material (as stated),Seller / Brand,Channel,Current price (USD),Sale / list price (USD),Size / dimensions (as stated),Rating (of 5),Review count,Best-seller proxy (type + value),Product URL,Image URL,Fetched at,Status / notes
1,(image embedded in xlsx),Everett Long Wood Foyer Table,Console table,"Acacia, pine, MDF, plywood and veneer",World Market,World Market,449.99,,"71""W x 16""D x 32""H, 65 lb",4.8,718,"[Tier A] 718 reviews, 4.8 avg; World Market 'Top Sellers' sort #1 for search 'wood console table'",https://www.worldmarket.com/p/everett-long-wood-foyer-table-129713.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw17f31133/images/large/129713_weatherednatural_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK | mixed/engineered construction; volume benchmark
2,(image embedded in xlsx),Chloe Wood Side Table,Side / end table,Rubberwood,World Market,World Market,59.99,,"12"" sq x 24""H, 13.2 lb",4.7,413,"[Tier A] 413 reviews, 4.7 avg; World Market 'Top Sellers' sort #5 for search 'wood side table'; product copy says 'a World Market bestseller'",https://www.worldmarket.com/p/chloe-wood-side-table-128427.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw9d25bc33/images/large/128427_mahogony_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK | not carved / not Indian-style; volume benchmark for budget end tables
3,(image embedded in xlsx),Augustus Wood Library Bookshelf,Bookshelf,Rubber wood and veneer,World Market,World Market,799.99,,"47""W x 17.5""D x 90""H, 199 lb",4.4,221,"[Tier A] 221 reviews, 4.4 avg; World Market 'Top Sellers' sort #3 for search 'wood bookshelf'",https://www.worldmarket.com/p/augustus-wood-library-bookshelf-130791.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwcc8d3441/images/large/130791_roastedcocoa_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK | not carved; volume benchmark
4,(image embedded in xlsx),Sansur Rustic Pecan Live Edge Wood Console Table,Console table,"Suar wood, composite wood, suar veneer",World Market,World Market,174.99,399.99,"58""W x 16""D x 30.1""H",4.9,145,"[Tier A] 145 reviews, 4.9 avg; World Market 'Top Sellers' sort #8 for search 'wood console table'",https://www.worldmarket.com/p/sansur-rustic-pecan-live-edge-wood-console-table-565911.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw13495290/images/large/85113_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK | tile status: out of stock | on sale (list 399.99)
5,(image embedded in xlsx),Extra Large Acacia Wood Paddle Cutting Board,Kitchen & serveware,Acacia wood,World Market,World Market,59.99,,"13.75""W x 35""L",4.9,87,"[Tier B] 87 reviews, 4.9 avg; World Market 'Top Sellers' sort #13 for search 'wood cutting board'",https://www.worldmarket.com/p/extra-large-acacia-wood-paddle-cutting-board-544486.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw6910c7ec/images/large/69129_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
6,(image embedded in xlsx),Colette Round Wood Ottoman Tray,Kitchen & serveware,"Acacia wood, handcrafted in India",World Market,World Market,69.99,,"24"" dia x 2""H, 10 lb",5.0,64,"[Tier B] 64 reviews, 5.0 avg; World Market 'Top Sellers' sort #2 for search 'wood tray'",https://www.worldmarket.com/p/colette-round-wood-ottoman-tray-125094.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwba16ec6d/images/large/125094_black_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:43 UTC,OK
7,(image embedded in xlsx),Teakhaus Large Edge Grain Wood Trencher Cutting Board,Kitchen & serveware,"FSC-certified teak, edge grain",Teakhaus (sold at World Market),World Market,42.99,,"14""W x 18""L x 0.75""H",4.5,62,"[Tier B] 62 reviews, 4.5 avg; World Market 'Top Sellers' sort #5 for search 'wood cutting board'",https://www.worldmarket.com/p/teakhaus-large-edge-grain-wood-trencher-cutting-board-592151.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwf94072da/images/large/96544_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
8,(image embedded in xlsx),Dane Acacia Mid Century Modular Bookshelf with Cabinet,Bookshelf,Solid acacia wood,World Market,World Market,649.99,,"39.5""W x 13.75""D x 70""H, 119 lb",4.2,60,"[Tier B] 60 reviews, 4.2 avg; World Market 'Top Sellers' sort #5 for search 'wood bookshelf'",https://www.worldmarket.com/p/dane-acacia-mid-century-modular-bookshelf-with-cabinet-131794.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dw719a03e5/images/large/131794_walnut_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
9,(image embedded in xlsx),Lansing Hazelnut Mango Wood Asymmetrical Side Table,Side / end table,"Handcrafted by Indian artisans; product page title says mango wood, copy/spec says acacia",World Market,World Market,149.99,,"19""W x 13""D x 19""H, 24.5 lb",4.8,53,"[Tier B] 53 reviews, 4.8 avg; World Market 'Top Sellers' sort #1 for search 'wood side table'",https://www.worldmarket.com/p/lansing-hazelnut-mango-wood-asymmetrical-side-table-634446.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwa54000f2/images/large/122634_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:41 UTC,OK
10,(image embedded in xlsx),Tunisian Olive Wood Cutting Board,Kitchen & serveware,Olive wood (made in Tunisia),World Market,World Market,29.99,,"~8.7""W x 15.8""L",4.6,47,"[Tier B] 47 reviews, 4.6 avg; World Market 'Top Sellers' sort #10 for search 'wood cutting board'",https://www.worldmarket.com/p/tunisian-olive-wood-cutting-board-585206.html,https://www.worldmarket.com/on/demandware.static/-/Sites-wm-master-catalog/default/dwbaa4ef9b/images/large/92688_XXX_v1.jpg?sw=400&sh=400&sm=fit&sfrm=jpg&q=80,2026-09-25 09:42 UTC,OK
